Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",2,17,0.001119673,0.033686528,0.444844525,1,1,7.10E-05,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-9659782
R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,2,17,0.001119673,0.033686528,0.444844525,1,2,1.42E-04,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-9659782
R-HSA-69615,G1/S DNA Damage Checkpoints,4,72,0.004742146,0.034202463,0.444844525,6,26,0.001846853,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-6803411;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6803403;R-HSA-6803801
R-HSA-187037,Signaling by NTRK1 (TRKA),6,143,0.009418429,0.035035114,0.444844525,16,102,0.007245347,9606,Homo sapiens,EGR2;SRC;FOS;TRIB1,,R-HSA-9031624;R-HSA-171011;R-HSA-9612534;R-HSA-9613210;R-HSA-9031616;R-HSA-170991;R-HSA-9613213;R-HSA-9612483;R-HSA-9613219;R-HSA-9613476;R-HSA-9621386;R-HSA-9612073;R-HSA-9621385;R-HSA-9031575;R-HSA-9612076;R-HSA-9612493
R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands,2,18,0.001185536,0.037358929,0.444844525,2,7,4.97E-04,9606,Homo sapiens,TNFRSF10C,,R-HSA-5633414;R-HSA-5633441
R-HSA-391160,Signal regulatory protein family interactions,2,18,0.001185536,0.037358929,0.444844525,2,10,7.10E-04,9606,Homo sapiens,TYROBP;SRC,,R-HSA-210274;R-HSA-391156
R-HSA-416700,Other semaphorin interactions,2,19,0.0012514,0.041176966,0.444844525,2,9,6.39E-04,9606,Homo sapiens,SEMA4A;TYROBP,,R-HSA-416725;R-HSA-416690
R-HSA-9657689,Defective SERPING1 causes hereditary angioedema,1,3,1.98E-04,0.049141747,0.444844525,3,3,2.13E-04,9606,Homo sapiens,SERPING1,,R-HSA-9651456;R-HSA-9651467;R-HSA-9650447
R-HSA-5619053,Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP),1,3,1.98E-04,0.049141747,0.444844525,1,1,7.10E-05,9606,Homo sapiens,SLC22A4,,R-HSA-5625674
R-HSA-9702518,STAT5 activation downstream of FLT3 ITD mutants,2,21,0.001383126,0.04922679,0.444844525,2,14,9.94E-04,9606,Homo sapiens,CDKN1A,,R-HSA-9698043;R-HSA-9698041
R-HSA-1169408,ISG15 antiviral mechanism,4,83,0.00546664,0.052556863,0.444844525,16,16,0.001136525,9606,Homo sapiens,HERC5;MX1;ISG15;IFIT1,,R-HSA-1678841;R-HSA-936462;R-HSA-1169395;R-HSA-1678843;R-HSA-1169394;R-HSA-1678842;R-HSA-1169397;R-HSA-1169399;R-HSA-1169398;R-HSA-1169307;R-HSA-1176059;R-HSA-1169403;R-HSA-1169402;R-HSA-1169405;R-HSA-1169404;R-HSA-1169406
R-HSA-2559583,Cellular Senescence,7,200,0.013172627,0.053751733,0.444844525,19,90,0.006392954,9606,Homo sapiens,CLN3;CDKN1A;CXCL8;IL1B;FOS,,R-HSA-3790137;R-HSA-4568740;R-HSA-3222546;R-HSA-4568737;R-HSA-3857308;R-HSA-3797202;R-HSA-3786258;R-HSA-4647594;R-HSA-4647593;R-HSA-3788745;R-HSA-450292;R-HSA-450325;R-HSA-3222533;R-HSA-3797196;R-HSA-3788705;R-HSA-69562;R-HSA-4647613;R-HSA-187934;R-HSA-3788708
R-HSA-5621481,C-type lectin receptors (CLRs),7,203,0.013370217,0.057272842,0.444844525,13,68,0.004830232,9606,Homo sapiens,FCER1G;CLEC4D;SRC;IL1B;CLEC4E,,R-HSA-5660663;R-HSA-5621366;R-HSA-5621363;R-HSA-5621371;R-HSA-5621370;R-HSA-5607750;R-HSA-5621347;R-HSA-5660622;R-HSA-5621356;R-HSA-5621353;R-HSA-5621352;R-HSA-5621355;R-HSA-5621354
R-HSA-6803157,Antimicrobial peptides,5,123,0.008101166,0.058028048,0.444844525,7,58,0.004119903,9606,Homo sapiens,LYZ;PGLYRP1;S100A9;S100A8;CAMP,,R-HSA-6801687;R-HSA-6789072;R-HSA-6798528;R-HSA-8862320;R-HSA-8862300;R-HSA-6798474;R-HSA-1222685
R-HSA-69231,Cyclin D associated events in G1,3,52,0.003424883,0.058231822,0.444844525,8,17,0.001207558,9606,Homo sapiens,CLN3;CDKN1A;SRC,,R-HSA-8941915;R-HSA-8942607;R-HSA-9018017;R-HSA-69227;R-HSA-8942803;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095
R-HSA-69236,G1 Phase,3,52,0.003424883,0.058231822,0.444844525,8,17,0.001207558,9606,Homo sapiens,CLN3;CDKN1A;SRC,,R-HSA-8941915;R-HSA-8942607;R-HSA-9018017;R-HSA-69227;R-HSA-8942803;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,6,165,0.010867418,0.061588288,0.444844525,31,107,0.007600511,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS;S100A9;S100A8,,R-HSA-166082;R-HSA-177671;R-HSA-2201316;R-HSA-451649;R-HSA-166091;R-HSA-2201322;R-HSA-5684250;R-HSA-166286;R-HSA-5684248;R-HSA-166284;R-HSA-2559414;R-HSA-450325;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-168166;R-HSA-5684275;R-HSA-166119;R-HSA-166245;R-HSA-168933;R-HSA-5684273;R-HSA-937059;R-HSA-937022;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-937079;R-HSA-166072;R-HSA-166271;R-HSA-5684267
R-HSA-9660826,Purinergic signaling in leishmaniasis infection,3,54,0.003556609,0.063679991,0.444844525,3,23,0.001633755,9606,Homo sapiens,ENTPD1;IL1B,,R-HSA-449058;R-HSA-448703;R-HSA-8850846
R-HSA-9664424,Cell recruitment (pro-inflammatory response),3,54,0.003556609,0.063679991,0.444844525,3,23,0.001633755,9606,Homo sapiens,ENTPD1;IL1B,,R-HSA-449058;R-HSA-448703;R-HSA-8850846
R-HSA-3656535,TGFBR1 LBD Mutants in Cancer,1,4,2.63E-04,0.064981768,0.444844525,1,1,7.10E-05,9606,Homo sapiens,FPR1,,R-HSA-3656382
R-HSA-5602498,MyD88 deficiency (TLR2/4),2,26,0.001712442,0.071510233,0.444844525,2,2,1.42E-04,9606,Homo sapiens,S100A9;S100A8,,R-HSA-5602383;R-HSA-5602606
R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,5,133,0.008759797,0.075332016,0.444844525,27,76,0.005398494,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS;S100A9;S100A8,,R-HSA-166082;R-HSA-2201316;R-HSA-451649;R-HSA-166091;R-HSA-2201322;R-HSA-5684250;R-HSA-166286;R-HSA-5684248;R-HSA-166284;R-HSA-2559414;R-HSA-450325;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-168166;R-HSA-5684275;R-HSA-166119;R-HSA-5684273;R-HSA-937059;R-HSA-937022;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-937079;R-HSA-166072;R-HSA-5684267
R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,5,133,0.008759797,0.075332016,0.444844525,27,78,0.00554056,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS;S100A9;S100A8,,R-HSA-166082;R-HSA-2201316;R-HSA-451649;R-HSA-166091;R-HSA-2201322;R-HSA-5684250;R-HSA-166286;R-HSA-5684248;R-HSA-166284;R-HSA-2559414;R-HSA-450325;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-168166;R-HSA-5684275;R-HSA-166119;R-HSA-5684273;R-HSA-937059;R-HSA-937022;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-937079;R-HSA-166072;R-HSA-5684267
R-HSA-5603041,IRAK4 deficiency (TLR2/4),2,27,0.001778305,0.076295915,0.444844525,2,2,1.42E-04,9606,Homo sapiens,S100A9;S100A8,,R-HSA-5602353;R-HSA-5602672
R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,2,27,0.001778305,0.076295915,0.444844525,1,9,6.39E-04,9606,Homo sapiens,BCL2A1,,R-HSA-9725338
R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,5,136,0.008957387,0.081013697,0.444844525,27,78,0.00554056,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS;S100A9;S100A8,,R-HSA-166082;R-HSA-2201316;R-HSA-451649;R-HSA-166091;R-HSA-2201322;R-HSA-5684250;R-HSA-166286;R-HSA-5684248;R-HSA-166284;R-HSA-2559414;R-HSA-450325;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-168166;R-HSA-5684275;R-HSA-166119;R-HSA-5684273;R-HSA-937059;R-HSA-937022;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-937079;R-HSA-166072;R-HSA-5684267
R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,5,136,0.008957387,0.081013697,0.444844525,27,80,0.005682625,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS;S100A9;S100A8,,R-HSA-166082;R-HSA-2201316;R-HSA-451649;R-HSA-166091;R-HSA-2201322;R-HSA-5684250;R-HSA-166286;R-HSA-5684248;R-HSA-166284;R-HSA-2559414;R-HSA-450325;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-168166;R-HSA-5684275;R-HSA-166119;R-HSA-5684273;R-HSA-937059;R-HSA-937022;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-937079;R-HSA-166072;R-HSA-5684267
R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,2,29,0.001910031,0.086157863,0.444844525,2,12,8.52E-04,9606,Homo sapiens,FOS,,R-HSA-9625479;R-HSA-9625465
R-HSA-446652,Interleukin-1 family signaling,6,183,0.012052954,0.090272201,0.444844525,26,92,0.006535019,9606,Homo sapiens,IL1RN;IL1R2;IL1B;S100A12;MAP3K8;S100P,,R-HSA-507719;R-HSA-451649;R-HSA-446862;R-HSA-5684250;R-HSA-5684248;R-HSA-446868;R-HSA-450133;R-HSA-446684;R-HSA-446694;R-HSA-446692;R-HSA-449058;R-HSA-168166;R-HSA-5684275;R-HSA-5684273;R-HSA-446894;R-HSA-446701;R-HSA-446634;R-HSA-5684261;R-HSA-446130;R-HSA-451634;R-HSA-448703;R-HSA-445757;R-HSA-5684267;R-HSA-445752;R-HSA-446648;R-HSA-445753
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,2,30,0.001975894,0.091225105,0.444844525,2,24,0.001704788,9606,Homo sapiens,CDKN1A,,R-HSA-9698043;R-HSA-9698041
R-HSA-5626978,TNFR1-mediated ceramide production,1,6,3.95E-04,0.095877587,0.444844525,3,3,2.13E-04,9606,Homo sapiens,TNF,,R-HSA-5626981;R-HSA-5626982;R-HSA-5626988
R-HSA-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,1,6,3.95E-04,0.095877587,0.444844525,1,1,7.10E-05,9606,Homo sapiens,CLN3,,R-HSA-188390
R-HSA-191650,Regulation of gap junction activity,1,6,3.95E-04,0.095877587,0.444844525,3,4,2.84E-04,9606,Homo sapiens,SRC,,R-HSA-191654;R-HSA-191636;R-HSA-191656
R-HSA-5205647,Mitophagy,2,31,0.002041757,0.09637738,0.444844525,5,15,0.001065492,9606,Homo sapiens,MAP1LC3A;SRC,,R-HSA-5205663;R-HSA-8948143;R-HSA-8959571;R-HSA-8959573;R-HSA-5205649
R-HSA-5621480,Dectin-2 family,3,65,0.004281104,0.097523704,0.444844525,10,12,8.52E-04,9606,Homo sapiens,CLEC4D;FCER1G;CLEC4E,,R-HSA-5621366;R-HSA-5621347;R-HSA-5621363;R-HSA-5621356;R-HSA-5621353;R-HSA-5621352;R-HSA-5621355;R-HSA-5621371;R-HSA-5621354;R-HSA-5621370
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,4,104,0.006849766,0.099628821,0.444844525,16,53,0.003764739,9606,Homo sapiens,HERC5;IRF7;S100A12;S100P;ISG15,,R-HSA-936462;R-HSA-9604499;R-HSA-168166;R-HSA-168935;R-HSA-933538;R-HSA-933536;R-HSA-933533;R-HSA-933531;R-HSA-918232;R-HSA-1028821;R-HSA-918229;R-HSA-933525;R-HSA-1028820;R-HSA-1028819;R-HSA-936563;R-HSA-1028816
R-HSA-70635,Urea cycle,2,32,0.00210762,0.101610477,0.444844525,2,8,5.68E-04,9606,Homo sapiens,ARG2;ARG1,,R-HSA-452036;R-HSA-70569
R-HSA-9703465,Signaling by FLT3 fusion proteins,2,32,0.00210762,0.101610477,0.444844525,2,18,0.001278591,9606,Homo sapiens,CDKN1A,,R-HSA-9698043;R-HSA-9698041
R-HSA-75109,Triglyceride biosynthesis,2,33,0.002173484,0.1069203,0.444844525,1,7,4.97E-04,9606,Homo sapiens,GK,,R-HSA-75887
R-HSA-3656534,Loss of Function of TGFBR1 in Cancer,1,7,4.61E-04,0.110942004,0.444844525,1,2,1.42E-04,9606,Homo sapiens,FPR1,,R-HSA-3656382
R-HSA-1566977,Fibronectin matrix formation,1,7,4.61E-04,0.110942004,0.444844525,1,3,2.13E-04,9606,Homo sapiens,CEACAM1,,R-HSA-202723
R-HSA-3134963,DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,1,7,4.61E-04,0.110942004,0.444844525,1,5,3.55E-04,9606,Homo sapiens,IRF7,,R-HSA-9604487
R-HSA-5620971,Pyroptosis,2,34,0.002239347,0.112302868,0.444844525,1,23,0.001633755,9606,Homo sapiens,IL1B,,R-HSA-449058
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,4,109,0.007179082,0.112993238,0.444844525,6,19,0.001349624,9606,Homo sapiens,EGR2;CEBPD;TNF,,R-HSA-560491;R-HSA-381377;R-HSA-381283;R-HSA-977271;R-HSA-381337;R-HSA-977392
R-HSA-9614085,FOXO-mediated transcription,4,110,0.007244945,0.115757238,0.444844525,6,85,0.006037789,9606,Homo sapiens,CDKN1A;MKRN3,,R-HSA-9614562;R-HSA-9617840;R-HSA-6803411;R-HSA-9618004;R-HSA-6803403;R-HSA-9617838
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,3,71,0.004676283,0.118470856,0.444844525,6,18,0.001278591,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-69562;R-HSA-4647613;R-HSA-3786258;R-HSA-187934;R-HSA-4647594;R-HSA-4647593
R-HSA-9616222,Transcriptional regulation of granulopoiesis,3,71,0.004676283,0.118470856,0.444844525,8,27,0.001917886,9606,Homo sapiens,CDKN1A;SPI1,,R-HSA-9616243;R-HSA-9634433;R-HSA-9616214;R-HSA-9617207;R-HSA-8865505;R-HSA-9617064;R-HSA-9624668;R-HSA-9634429
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,2,36,0.002371073,0.123270856,0.444844525,1,3,2.13E-04,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-9659782
R-HSA-549127,Organic cation transport,2,36,0.002371073,0.123270856,0.444844525,2,9,6.39E-04,9606,Homo sapiens,SLC22A4,,R-HSA-549241;R-HSA-549297
R-HSA-5686938,Regulation of TLR by endogenous ligand,2,36,0.002371073,0.123270856,0.444844525,1,12,8.52E-04,9606,Homo sapiens,S100A9;S100A8,,R-HSA-5432849
R-HSA-8849470,PTK6 Regulates Cell Cycle,1,8,5.27E-04,0.125756387,0.444844525,2,2,1.42E-04,9606,Homo sapiens,CLN3,,R-HSA-8848436;R-HSA-8848414
R-HSA-75094,Formation of the Editosome,1,8,5.27E-04,0.125756387,0.444844525,1,2,1.42E-04,9606,Homo sapiens,APOBEC3A,,R-HSA-77609
R-HSA-168898,Toll-like Receptor Cascades,6,202,0.013304354,0.127165452,0.444844525,39,198,0.014064498,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS;S100A9;S100A8,,R-HSA-975118;R-HSA-166082;R-HSA-5432849;R-HSA-177671;R-HSA-2201316;R-HSA-451649;R-HSA-166091;R-HSA-2201322;R-HSA-975106;R-HSA-5684250;R-HSA-166286;R-HSA-5684248;R-HSA-166284;R-HSA-2559414;R-HSA-9013979;R-HSA-9013978;R-HSA-933533;R-HSA-450325;R-HSA-933531;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-975188;R-HSA-2262777;R-HSA-168166;R-HSA-5684275;R-HSA-166119;R-HSA-166245;R-HSA-168933;R-HSA-5684273;R-HSA-937059;R-HSA-937022;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-937079;R-HSA-166072;R-HSA-166271;R-HSA-5684267
R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,2,37,0.002436936,0.128848855,0.444844525,2,13,9.23E-04,9606,Homo sapiens,HERC5;ISG15,,R-HSA-936462;R-HSA-936563
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,4,115,0.007574261,0.130012196,0.444844525,3,16,0.001136525,9606,Homo sapiens,BST1;FCGR3B;PLAUR;LY6E,,R-HSA-162836;R-HSA-162729;R-HSA-8940388
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,4,116,0.007640124,0.132947427,0.444844525,15,73,0.005185396,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS,,R-HSA-168166;R-HSA-177671;R-HSA-5684275;R-HSA-168933;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684248;R-HSA-9013979;R-HSA-450292;R-HSA-9013978;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-5684267
R-HSA-9675126,Diseases of mitotic cell cycle,2,38,0.002502799,0.134484749,0.444844525,1,5,3.55E-04,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-9659782
R-HSA-975155,MyD88 dependent cascade initiated on endosome,4,117,0.007705987,0.135909798,0.444844525,16,75,0.005327461,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS,,R-HSA-975118;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-975106;R-HSA-5684250;R-HSA-5684248;R-HSA-450292;R-HSA-933533;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-933531;R-HSA-975188;R-HSA-5684267
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,4,118,0.00777185,0.138898893,0.444844525,16,79,0.005611593,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS,,R-HSA-975118;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-975106;R-HSA-5684250;R-HSA-5684248;R-HSA-450292;R-HSA-933533;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-933531;R-HSA-975188;R-HSA-5684267
R-HSA-354192,Integrin signaling,2,39,0.002568662,0.140175082,0.444844525,19,24,0.001704788,9606,Homo sapiens,SRC,,R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-372693;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-372697
R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,2,39,0.002568662,0.140175082,0.444844525,19,26,0.001846853,9606,Homo sapiens,EGR2,,R-HSA-9619667;R-HSA-9615638;R-HSA-9621399;R-HSA-9616116;R-HSA-9614773;R-HSA-9614778;R-HSA-9621400;R-HSA-9621406;R-HSA-9618559;R-HSA-9621404;R-HSA-9621410;R-HSA-9621411;R-HSA-9614787;R-HSA-9613760;R-HSA-9614790;R-HSA-9618725;R-HSA-9615626;R-HSA-9613768;R-HSA-9619657
R-HSA-427975,Proton/oligopeptide cotransporters,1,9,5.93E-04,0.140324869,0.444844525,1,2,1.42E-04,9606,Homo sapiens,SLC15A3,,R-HSA-428007
R-HSA-3304351,Signaling by TGF-beta Receptor Complex in Cancer,1,9,5.93E-04,0.140324869,0.444844525,1,7,4.97E-04,9606,Homo sapiens,FPR1,,R-HSA-3656382
R-HSA-5607764,CLEC7A (Dectin-1) signaling,4,120,0.007903576,0.144955586,0.444844525,3,45,0.003196477,9606,Homo sapiens,SRC;IL1B,,R-HSA-5660663;R-HSA-5607750;R-HSA-5660622
R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling ,4,121,0.00796944,0.148022336,0.444844525,15,70,0.004972297,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS,,R-HSA-168166;R-HSA-177671;R-HSA-5684275;R-HSA-166245;R-HSA-168933;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684248;R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-166271;R-HSA-5684267
R-HSA-166166,MyD88-independent TLR4 cascade ,4,121,0.00796944,0.148022336,0.444844525,15,72,0.005114363,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS,,R-HSA-168166;R-HSA-177671;R-HSA-5684275;R-HSA-166245;R-HSA-168933;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684248;R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-166271;R-HSA-5684267
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,4,121,0.00796944,0.148022336,0.444844525,16,80,0.005682625,9606,Homo sapiens,IRF7;S100A12;MAP3K8;S100P;FOS,,R-HSA-975118;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-975106;R-HSA-5684250;R-HSA-5684248;R-HSA-450292;R-HSA-933533;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-933531;R-HSA-975188;R-HSA-5684267
R-HSA-389356,CD28 co-stimulation,2,41,0.002700389,0.151705736,0.444844525,3,19,0.001349624,9606,Homo sapiens,SRC;MAP3K8,,R-HSA-392530;R-HSA-389756;R-HSA-388831
R-HSA-9768919,NPAS4 regulates expression of target genes,2,41,0.002700389,0.151705736,0.444844525,2,36,0.002557181,9606,Homo sapiens,FOS,,R-HSA-9768950;R-HSA-9768945
R-HSA-162791,Attachment of GPI anchor to uPAR,1,10,6.59E-04,0.154651517,0.444844525,2,2,1.42E-04,9606,Homo sapiens,PLAUR,,R-HSA-162836;R-HSA-162729
R-HSA-9603381,Activated NTRK3 signals through PI3K,1,10,6.59E-04,0.154651517,0.444844525,4,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-9603445;R-HSA-9603419;R-HSA-9603420;R-HSA-9603437
R-HSA-72200,mRNA Editing: C to U Conversion,1,10,6.59E-04,0.154651517,0.444844525,2,3,2.13E-04,9606,Homo sapiens,APOBEC3A,,R-HSA-77609;R-HSA-83677
R-HSA-418886,Netrin mediated repulsion signals,1,10,6.59E-04,0.154651517,0.444844525,1,4,2.84E-04,9606,Homo sapiens,SRC,,R-HSA-418859
R-HSA-5602358,Diseases associated with the TLR signaling cascade,2,42,0.002766252,0.157539628,0.444844525,4,15,0.001065492,9606,Homo sapiens,S100A9;S100A8,,R-HSA-5602353;R-HSA-5602672;R-HSA-5602383;R-HSA-5602606
R-HSA-5260271,Diseases of Immune System,2,42,0.002766252,0.157539628,0.444844525,4,15,0.001065492,9606,Homo sapiens,S100A9;S100A8,,R-HSA-5602353;R-HSA-5602672;R-HSA-5602383;R-HSA-5602606
R-HSA-9682385,FLT3 signaling in disease,2,43,0.002832115,0.163415099,0.444844525,2,52,0.003693706,9606,Homo sapiens,CDKN1A,,R-HSA-9698043;R-HSA-9698041
R-HSA-3785653,Myoclonic epilepsy of Lafora,1,11,7.24E-04,0.16874033,0.444844525,2,2,1.42E-04,9606,Homo sapiens,EPM2A,,R-HSA-3797226;R-HSA-3791349
R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,1,11,7.24E-04,0.16874033,0.444844525,2,2,1.42E-04,9606,Homo sapiens,CHRNA6,,R-HSA-629599;R-HSA-622326
R-HSA-444473,Formyl peptide receptors bind formyl peptides and many other ligands,1,11,7.24E-04,0.16874033,0.444844525,1,3,2.13E-04,9606,Homo sapiens,FPR1,,R-HSA-444527
R-HSA-1253288,Downregulation of ERBB4 signaling,1,11,7.24E-04,0.16874033,0.444844525,1,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-9612219
R-HSA-9032500,Activated NTRK2 signals through FYN,1,11,7.24E-04,0.16874033,0.444844525,1,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-9037040
R-HSA-2025928,Calcineurin activates NFAT,1,12,7.90E-04,0.18259524,0.444844525,2,3,2.13E-04,9606,Homo sapiens,FPR1,,R-HSA-2025882;R-HSA-9690461
R-HSA-450341,Activation of the AP-1 family of transcription factors,1,12,7.90E-04,0.18259524,0.444844525,2,5,3.55E-04,9606,Homo sapiens,FOS,,R-HSA-450292;R-HSA-450325
R-HSA-2855086,Ficolins bind to repetitive carbohydrate structures on the target cell surface,1,12,7.90E-04,0.18259524,0.444844525,1,3,2.13E-04,9606,Homo sapiens,FCN1,,R-HSA-2855125
R-HSA-430116,GP1b-IX-V activation signalling,1,12,7.90E-04,0.18259524,0.444844525,2,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-443439;R-HSA-443418
R-HSA-75072,mRNA Editing,1,12,7.90E-04,0.18259524,0.444844525,2,9,6.39E-04,9606,Homo sapiens,APOBEC3A,,R-HSA-77609;R-HSA-83677
R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,1,12,7.90E-04,0.18259524,0.444844525,1,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-9011241
R-HSA-977225,Amyloid fiber formation,3,89,0.005861819,0.189466309,0.444844525,2,33,0.002344083,9606,Homo sapiens,CST3;LYZ;HSPG2,,R-HSA-976734;R-HSA-977136
R-HSA-549132,Organic cation/anion/zwitterion transport,2,48,0.003161431,0.193314622,0.444844525,2,12,8.52E-04,9606,Homo sapiens,SLC22A4,,R-HSA-549241;R-HSA-549297
R-HSA-629594,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,1,13,8.56E-04,0.196220115,0.444844525,2,2,1.42E-04,9606,Homo sapiens,CHRNA6,,R-HSA-629595;R-HSA-629596
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),1,13,8.56E-04,0.196220115,0.444844525,1,3,2.13E-04,9606,Homo sapiens,NCF4,,R-HSA-1236967
R-HSA-2022923,Dermatan sulfate biosynthesis,1,13,8.56E-04,0.196220115,0.444844525,1,4,2.84E-04,9606,Homo sapiens,DSE,,R-HSA-2022052
R-HSA-6809371,Formation of the cornified envelope,4,138,0.009089113,0.203626184,0.444844525,9,27,0.001917886,9606,Homo sapiens,CSTA;KRT17;JUP;KRT23,,R-HSA-6814695;R-HSA-6810357;R-HSA-6811539;R-HSA-6814387;R-HSA-8942224;R-HSA-6814734;R-HSA-6814764;R-HSA-6814298;R-HSA-6810937
R-HSA-9013973,TICAM1-dependent activation of IRF3/IRF7,1,14,9.22E-04,0.209618761,0.444844525,4,9,6.39E-04,9606,Homo sapiens,IRF7,,R-HSA-9013979;R-HSA-9013978;R-HSA-177671;R-HSA-168933
